113 89  49  49  
82  86  51  51  
125 102 52  49  
119 99  52  47  
125 94  53  53  
97  93  49  51  
98  101 49  52  
123 92  53  50  
93  94  48  51  
127 95  53  53  
90  89  51  53  
102 87  47  54  
129 94  49  53  
94  89  50  53  
84  90  51  49  
115 86  50  51  
90  102 51  54  
126 92  48  50  
118 95  47  49  
89  93  50  52  
83  87  48  54  
119 96  48  50  
101 95  50  51  
125 96  47  49  
120 98  51  53  
87  92  52  51  
127 91  50  54  
111 94  48  51  
82  88  54  54  
126 89  51  49
